Nation,Position,Player,Club,Age,Caps
Switzerland,Midfielder,Steven Zuber,1899 Hoffenheim,26,12
Switzerland,Midfielder,Blerim Džemaili,Bologna,32,65
Switzerland,Midfielder,Gelson Fernandes,Eintracht Frankfurt,31,67
Switzerland,Midfielder,Denis Zakaria,Borussia Mönchengladbach,21,10
Switzerland,Forward,Mario Gavranović,Dinamo Zagreb,28,14
Switzerland,Forward,Josip Drmić,Borussia Mönchengladbach,25,29
Switzerland,Defender,Johan Djourou,Antalyaspor,31,74
Switzerland,Goalkeeper,Roman Bürki,Borussia Dortmund,27,9
Switzerland,Defender,Fabian Schär,Deportivo La Coruña,26,39
Switzerland,Midfielder,Xherdan Shaqiri,Stoke City,26,70
Germany,Goalkeeper,Manuel Neuer,Bayern Munich,32,76
Germany,Defender,Marvin Plattenhardt,Hertha BSC,26,6
Germany,Defender,Jonas Hector,1. FC Köln,28,38
Germany,Defender,Matthias Ginter,Borussia Mönchengladbach,24,18
Germany,Defender,Mats Hummels,Bayern Munich,29,64
Germany,Midfielder,Sami Khedira,Juventus,31,75
Germany,Midfielder,Julian Draxler,Paris Saint-Germain,24,44
Germany,Midfielder,Toni Kroos,Real Madrid,28,83
Germany,Forward,Timo Werner,RB Leipzig,22,14
Germany,Midfielder,Mesut Özil,Arsenal,29,90
Germany,Forward,Marco Reus,Borussia Dortmund,29,31
Germany,Goalkeeper,Kevin Trapp,Paris Saint-Germain,27,3
Germany,Midfielder,Thomas Müller,Bayern Munich,28,91
Germany,Midfielder,Leon Goretzka,Schalke 04,23,15
Germany,Defender,Niklas Süle,Bayern Munich,22,11
Germany,Defender,Antonio Rüdiger,Chelsea,25,24
Germany,Defender,Jérôme Boateng,Bayern Munich,29,71
Germany,Defender,Joshua Kimmich,Bayern Munich,23,29
Germany,Midfielder,Sebastian Rudy,Bayern Munich,28,25
Germany,Midfielder,Julian Brandt,Bayer Leverkusen,22,16
Germany,Midfielder,İlkay Gündoğan,Manchester City,27,26
Germany,Goalkeeper,Marc-André ter Stegen,Barcelona,26,20
Germany,Forward,Mario Gómez,VfB Stuttgart,32,75
Mexico,Goalkeeper,José de Jesús Corona,Cruz Azul,37,52
Mexico,Defender,Hugo Ayala,UANL,31,43
Mexico,Defender,Carlos Salcedo,Eintracht Frankfurt,24,21
Mexico,Defender,Rafael Márquez,Atlas,39,145
Mexico,Midfielder,Érick Gutiérrez,Pachuca,22,9
Mexico,Midfielder,Jonathan dos Santos,LA Galaxy,28,32
Mexico,Midfielder,Miguel Layún,Sevilla,29,64
Mexico,Forward,Marco Fabián,Eintracht Frankfurt,28,39
Mexico,Forward,Raúl Jiménez,Benfica,27,63
Mexico,Midfielder,Giovani dos Santos,LA Galaxy,29,105
Mexico,Forward,Carlos Vela,Los Angeles FC,29,68
Mexico,Goalkeeper,Alfredo Talavera,Toluca,35,27
Mexico,Goalkeeper,Guillermo Ochoa,Standard Liège,32,94
Mexico,Forward,Javier Hernández,West Ham United,30,102
Mexico,Defender,Héctor Moreno,Real Sociedad,30,92
Mexico,Defender,Héctor Herrera,Porto,28,66
Mexico,Midfielder,Jesús Manuel Corona,Porto,25,36
Mexico,Midfielder,Andrés Guardado,Real Betis,31,145
Mexico,Forward,Oribe Peralta,América,34,67
Mexico,Midfielder,Javier Aquino,UANL,28,53
Mexico,Defender,Edson Álvarez,América,20,13
Mexico,Forward,Hirving Lozano,PSV Eindhoven,22,28
Mexico,Midfielder,Jesús Gallardo,UNAM,23,23
South Korea,Goalkeeper,Kim Seung-gyu,Vissel Kobe,27,33
South Korea,Defender,Lee Yong,Jeonbuk Hyundai Motors,31,28
South Korea,Defender,Jung Seung-hyun,Sagan Tosu,24,6
South Korea,Defender,Oh Ban-suk,Jeju United,30,2
South Korea,Defender,Yun Young-sun,Seongnam FC,29,6
South Korea,Defender,Park Joo-ho,Ulsan Hyundai,31,36
South Korea,Forward,Son Heung-min,Tottenham Hotspur,25,67
South Korea,Midfielder,Ju Se-jong,Asan Mugunghwa,27,11
South Korea,Forward,Kim Shin-wook,Jeonbuk Hyundai Motors,30,50
South Korea,Midfielder,Lee Seung-woo,Hellas Verona,20,4
South Korea,Forward,Hwang Hee-chan,Red Bull Salzburg,22,14
South Korea,Defender,Kim Min-woo,Sangju Sangmu,28,20
South Korea,Midfielder,Koo Ja-cheol,FC Augsburg,29,68
South Korea,Defender,Hong Chul,Sangju Sangmu,27,14
South Korea,Midfielder,Jung Woo-young,Vissel Kobe,28,30
South Korea,Midfielder,Ki Sung-yueng,Swansea City,29,102
South Korea,Midfielder,Lee Jae-sung,Jeonbuk Hyundai Motors,25,35
South Korea,Midfielder,Moon Seon-min,Incheon United,26,3
South Korea,Defender,Kim Young-gwon,Guangzhou Evergrande,28,53
South Korea,Defender,Jang Hyun-soo,FC Tokyo,26,51
South Korea,Goalkeeper,Kim Jin-hyeon,Cerezo Osaka,30,15
South Korea,Defender,Go Yo-han,FC Seoul,30,20
South Korea,Goalkeeper,Jo Hyeon-woo,Daegu FC,26,6
Sweden,Goalkeeper,Robin Olsen,Copenhagen,28,18
Sweden,Defender,Mikael Lustig,Celtic,31,66
Sweden,Defender,Victor Lindelöf,Manchester United,23,21
Sweden,Defender,Andreas Granqvist,Krasnodar,33,72
Sweden,Defender,Martin Olsson,Swansea City,30,43
Sweden,Defender,Ludwig Augustinsson,Werder Bremen,24,15
Sweden,Midfielder,Sebastian Larsson,Hull City,33,100
Sweden,Midfielder,Albin Ekdal,Hamburger SV,28,34
Sweden,Forward,Marcus Berg,Al Ain,31,57
Sweden,Midfielder,Emil Forsberg,RB Leipzig,26,36
Sweden,Forward,John Guidetti,Alavés,26,20
Sweden,Goalkeeper,Karl-Johan Johnsson,Guingamp,28,5
Sweden,Midfielder,Gustav Svensson,Seattle Sounders FC,31,13
Sweden,Defender,Filip Helander,Bologna,25,4
Sweden,Midfielder,Oscar Hiljemark,Genoa,25,22
Sweden,Defender,Emil Krafth,Bologna,23,13
Sweden,Midfielder,Viktor Claesson,Krasnodar,26,22
Sweden,Defender,Pontus Jansson,Leeds United,27,15
Sweden,Midfielder,Marcus Rohdén,Crotone,27,12
Sweden,Forward,Ola Toivonen,Toulouse,31,59
Sweden,Midfielder,Jimmy Durmaz,Toulouse,29,45
Sweden,Forward,Isaac Kiese Thelin,Waasland-Beveren,25,20
Sweden,Goalkeeper,Kristoffer Nordfeldt,Swansea City,28,8
Belgium,Goalkeeper,Thibaut Courtois,Chelsea,26,58
Belgium,Defender,Toby Alderweireld,Tottenham Hotspur,29,77
Belgium,Defender,Thomas Vermaelen,Barcelona,32,66
Belgium,Defender,Vincent Kompany,Manchester City,32,77
Belgium,Defender,Jan Vertonghen,Tottenham Hotspur,31,102
Belgium,Midfielder,Axel Witsel,Tianjin Quanjian,29,90
Belgium,Midfielder,Kevin De Bruyne,Manchester City,26,62
Belgium,Midfielder,Marouane Fellaini,Manchester United,30,82
Belgium,Forward,Romelu Lukaku,Manchester United,25,69
Belgium,Forward,Eden Hazard,Chelsea,27,86
Belgium,Midfielder,Yannick Carrasco,Dalian Yifang,24,26
Belgium,Goalkeeper,Simon Mignolet,Liverpool,30,21
Belgium,Goalkeeper,Koen Casteels,VfL Wolfsburg,25,0
Belgium,Forward,Dries Mertens,Napoli,31,69
Belgium,Defender,Thomas Meunier,Paris Saint-Germain,26,25
Belgium,Midfielder,Thorgan Hazard,Borussia Mönchengladbach,25,11
Belgium,Midfielder,Youri Tielemans,Monaco,21,9
Belgium,Forward,Adnan Januzaj,Real Sociedad,23,8
Belgium,Midfielder,Mousa Dembélé,Tottenham Hotspur,30,76
Belgium,Defender,Dedryck Boyata,Celtic,27,7
Belgium,Forward,Michy Batshuayi,Borussia Dortmund,24,16
Belgium,Midfielder,Nacer Chadli,West Bromwich Albion,28,45
Belgium,Defender,Leander Dendoncker,Anderlecht,23,5
England,Goalkeeper,Jordan Pickford,Everton,24,3
England,Defender,Kyle Walker,Manchester City,28,35
England,Defender,Danny Rose,Tottenham Hotspur,27,18
England,Midfielder,Eric Dier,Tottenham Hotspur,24,26
England,Defender,John Stones,Manchester City,24,26
England,Defender,Harry Maguire,Leicester City,25,5
England,Midfielder,Jesse Lingard,Manchester United,25,12
England,Midfielder,Jordan Henderson,Liverpool,27,39
England,Forward,Harry Kane,Tottenham Hotspur,24,24
England,Forward,Raheem Sterling,Manchester City,23,38
England,Forward,Jamie Vardy,Leicester City,31,22
England,Defender,Kieran Trippier,Tottenham Hotspur,27,7
England,Goalkeeper,Jack Butland,Stoke City,25,8
England,Forward,Danny Welbeck,Arsenal,27,39
England,Defender,Gary Cahill,Chelsea,32,60
England,Defender,Phil Jones,Manchester United,26,25
England,Defender,Fabian Delph,Manchester City,28,11
England,Defender,Ashley Young,Manchester United,32,34
England,Forward,Marcus Rashford,Manchester United,20,19
England,Midfielder,Dele Alli,Tottenham Hotspur,22,25
England,Midfielder,Ruben Loftus-Cheek,Crystal Palace,22,4
England,Defender,Trent Alexander-Arnold,Liverpool,19,1
England,Goalkeeper,Nick Pope,Burnley,26,1
Panama,Goalkeeper,Jaime Penedo,Dinamo București,36,131
Panama,Defender,Michael Amir Murillo,New York Red Bulls,22,22
Panama,Defender,Harold Cummings,San Jose Earthquakes,26,52
Panama,Defender,Fidel Escobar,New York Red Bulls,23,23
Panama,Defender,Román Torres,Seattle Sounders FC,32,111
Panama,Midfielder,Gabriel Gómez,Atlético Bucaramanga,34,144
Panama,Forward,Blas Pérez,Municipal,37,118
Panama,Midfielder,Yoel Bárcenas,Tapachula,24,29
Panama,Forward,Gabriel Torres,Huachipato,29,72
Panama,Forward,Ismael Díaz,Deportivo Fabril,21,11
Panama,Midfielder,Armando Cooper,Universidad de Chile,30,98
Panama,Goalkeeper,José Calderón,Chorrillo,32,31
Panama,Defender,Adolfo Machado,Houston Dynamo,33,76
Panama,Midfielder,Valentín Pimentel,Plaza Amador,27,23
Panama,Defender,Erick Davis,Dunajská Streda,27,38
Panama,Forward,Abdiel Arroyo,Alajuelense,24,33
Panama,Defender,Luis Ovalle,CD Olimpia,29,25
Panama,Forward,Luis Tejada,Sport Boys,36,105
Panama,Midfielder,Ricardo Ávila,Gent,21,5
Panama,Midfielder,Aníbal Godoy,San Jose Earthquakes,28,88
Panama,Midfielder,José Luis Rodríguez,Gent,19,2
Panama,Goalkeeper,Álex Rodríguez,San Francisco,27,6
Panama,Defender,Felipe Baloy,Municipal,37,102
Tunisia,Goalkeeper,Farouk Ben Mustapha,Al Shabab,28,15
Tunisia,Defender,Syam Ben Youssef,Kasımpaşa,29,42
Tunisia,Defender,Yohan Benalouane,Leicester City,31,4
Tunisia,Defender,Yassine Meriah,CS Sfaxien,24,16
Tunisia,Defender,Oussama Haddadi,Dijon,26,9
Tunisia,Defender,Rami Bedoui,Étoile du Sahel,28,8
Tunisia,Forward,Saîf-Eddine Khaoui,Troyes,23,5
Tunisia,Forward,Fakhreddine Ben Youssef,Al-Ettifaq,26,39
Tunisia,Midfielder,Anice Badri,Espérance de Tunis,27,7
Tunisia,Forward,Wahbi Khazri,Rennes,27,35
Tunisia,Defender,Dylan Bronn,Gent,22,5
Tunisia,Defender,Ali Maâloul,Al Ahly,28,46
Tunisia,Midfielder,Ferjani Sassi,Al Nassr,26,39
Tunisia,Midfielder,Mohamed Amine Ben Amor,Al Ahli,26,26
Tunisia,Forward,Ahmed Khalil,Club Africain,23,3
Tunisia,Goalkeeper,Aymen Mathlouthi,Al Batin,33,70
Tunisia,Midfielder,Ellyes Skhiri,Montpellier,23,5
Tunisia,Forward,Bassem Srarfi,Nice,20,5
Tunisia,Forward,Saber Khalifa,Club Africain,31,44
Tunisia,Forward,Ghailene Chaalali,Espérance de Tunis,24,6
Tunisia,Defender,Hamdi Nagguez,Zamalek,25,15
Tunisia,Goalkeeper,Mouez Hassen,Châteauroux,23,3
Tunisia,Forward,Naïm Sliti,Dijon,25,17
Colombia,Goalkeeper,David Ospina,Arsenal,29,86
Colombia,Defender,Cristián Zapata,Milan,31,55
Colombia,Defender,Óscar Murillo,Pachuca,30,13
Colombia,Defender,Santiago Arias,PSV Eindhoven,26,41
Colombia,Midfielder,Wilmar Barrios,Boca Juniors,24,10
Colombia,Midfielder,Carlos Sánchez,Espanyol,32,85
Colombia,Forward,Carlos Bacca,Villarreal,31,45
Colombia,Midfielder,Abel Aguilar,Deportivo Cali,33,70
Colombia,Forward,Radamel Falcao,Monaco,32,73
Colombia,Midfielder,James Rodríguez,Bayern Munich,26,63
Colombia,Midfielder,Juan Cuadrado,Juventus,30,70
Colombia,Goalkeeper,Camilo Vargas,Deportivo Cali,29,5
Colombia,Defender,Yerry Mina,Barcelona,23,12
Colombia,Forward,Luis Muriel,Sevilla,27,18
Colombia,Midfielder,Mateus Uribe,América,27,8
Colombia,Midfielder,Jefferson Lerma,Levante,23,5
Colombia,Defender,Johan Mojica,Girona,25,4
Colombia,Defender,Farid Díaz,Olimpia,34,13
Colombia,Forward,Miguel Borja,Palmeiras,25,7
Colombia,Midfielder,Juan Fernando Quintero,River Plate,25,15
Colombia,Forward,José Izquierdo,Brighton & Hove Albion,25,5
Colombia,Goalkeeper,José Fernando Cuadrado,Once Caldas,33,1
Colombia,Defender,Davinson Sánchez,Tottenham Hotspur,22,9
Japan,Goalkeeper,Eiji Kawashima,Metz,35,84
Japan,Defender,Naomichi Ueda,Kashima Antlers,23,4
Japan,Defender,Gen Shoji,Kashima Antlers,25,11
Japan,Midfielder,Keisuke Honda,Pachuca,32,95
Japan,Defender,Yuto Nagatomo,Galatasaray,31,105
Japan,Defender,Wataru Endo,Urawa Red Diamonds,25,12
Japan,Midfielder,Gaku Shibasaki,Getafe,26,18
Japan,Midfielder,Genki Haraguchi,Fortuna Düsseldorf,27,33
Japan,Forward,Shinji Okazaki,Leicester City,32,113
Japan,Midfielder,Shinji Kagawa,Borussia Dortmund,29,92
Japan,Midfielder,Takashi Usami,Fortuna Düsseldorf,26,24
Japan,Goalkeeper,Masaaki Higashiguchi,Gamba Osaka,32,5
Japan,Forward,Yoshinori Muto,Mainz 05,25,24
Japan,Midfielder,Takashi Inui,Eibar,30,27
Japan,Forward,Yuya Osako,1. FC Köln,28,29
Japan,Midfielder,Hotaru Yamaguchi,Cerezo Osaka,27,42
Japan,Midfielder,Makoto Hasebe,Eintracht Frankfurt,34,110
Japan,Midfielder,Ryota Oshima,Kawasaki Frontale,25,5
Japan,Defender,Hiroki Sakai,Marseille,28,43
Japan,Defender,Tomoaki Makino,Urawa Red Diamonds,31,32
Japan,Defender,Gōtoku Sakai,Hamburger SV,27,41
Japan,Defender,Maya Yoshida,Southampton,29,82
Japan,Goalkeeper,Kosuke Nakamura,Kashiwa Reysol,23,4
Poland,Goalkeeper,Wojciech Szczęsny,Juventus,28,35
Poland,Defender,Michał Pazdan,Legia Warsaw,30,33
Poland,Defender,Artur Jędrzejczyk,Legia Warsaw,30,36
Poland,Defender,Thiago Cionek,SPAL,32,19
Poland,Defender,Jan Bednarek,Southampton,22,3
Poland,Midfielder,Jacek Góralski,Ludogorets Razgrad,25,5
Poland,Forward,Arkadiusz Milik,Napoli,24,40
Poland,Midfielder,Karol Linetty,Sampdoria,23,20
Poland,Forward,Robert Lewandowski,Bayern Munich,29,95
Poland,Midfielder,Grzegorz Krychowiak,West Bromwich Albion,28,51
Poland,Midfielder,Kamil Grosicki,Hull City,30,57
Poland,Goalkeeper,Bartosz Białkowski,Ipswich Town,30,1
Poland,Midfielder,Maciej Rybus,Lokomotiv Moscow,28,51
Poland,Forward,Łukasz Teodorczyk,Anderlecht,27,17
Poland,Defender,Kamil Glik,Monaco,30,57
Poland,Midfielder,Jakub Błaszczykowski,VfL Wolfsburg,32,99
Poland,Midfielder,Sławomir Peszko,Lechia Gdańsk,33,43
Poland,Defender,Bartosz Bereszyński,Sampdoria,25,8
Poland,Midfielder,Piotr Zieliński,Napoli,24,33
Poland,Defender,Łukasz Piszczek,Borussia Dortmund,33,63
Poland,Midfielder,Rafał Kurzawa,Górnik Zabrze,25,3
Poland,Goalkeeper,Łukasz Fabiański,Swansea City,33,45
Poland,Forward,Dawid Kownacki,Sampdoria,21,2
Senegal,Goalkeeper,Abdoulaye Diallo,Rennes,26,17
Senegal,Defender,Adama Mbengue,Caen,24,6
Senegal,Defender,Kalidou Koulibaly,Napoli,26,26
Senegal,Defender,Kara Mbodji,Anderlecht,28,52
Senegal,Midfielder,Idrissa Gueye,Everton,28,61
Senegal,Midfielder,Salif Sané,Hannover 96,27,22
Senegal,Forward,Moussa Sow,Bursaspor,32,51
Senegal,Midfielder,Cheikhou Kouyaté,West Ham United,28,48
Senegal,Forward,Mame Biram Diouf,Stoke City,30,49
Senegal,Forward,Sadio Mané,Liverpool,26,53
Senegal,Midfielder,Cheikh N'Doye,Birmingham City,32,26
Senegal,Defender,Youssouf Sabaly,Bordeaux,25,5
Senegal,Midfielder,Alfred N'Diaye,Wolverhampton Wanderers,28,21
Senegal,Forward,Moussa Konaté,Amiens,25,28
Senegal,Forward,Diafra Sakho,Rennes,28,12
Senegal,Goalkeeper,Khadim N'Diaye,Horoya,33,26
Senegal,Midfielder,Badou Ndiaye,Stoke City,27,20
Senegal,Forward,Ismaïla Sarr,Rennes,20,16
Senegal,Forward,M'Baye Niang,Torino,23,7
Senegal,Forward,Keita Baldé,Monaco,23,19
Senegal,Defender,Lamine Gassama,Alanyaspor,28,36
Senegal,Defender,Moussa Wagué,Eupen,19,10
Senegal,Goalkeeper,Alfred Gomis,SPAL,24,1
