Nation,Position,Player,Club,Age,Caps
Germany,Midfielder,Julian Brandt,Borussia Dortmund,26,39
Germany,Midfielder,Jonas Hofmann,Borussia Mönchengladbach,30,17
Germany,Midfielder,Leroy Sané,Bayern Munich,26,48
Germany,Defender,Christian Günter,SC Freiburg,29,7
Germany,Midfielder,İlkay Gündoğan,Manchester City,32,63
Germany,Goalkeeper,Marc-André ter Stegen,Barcelona,30,30
Germany,Defender,Nico Schlotterbeck,Borussia Dortmund,22,6
Germany,Forward,Karim Adeyemi,Borussia Dortmund,20,4
Germany,Defender,Armel Bella-Kotchap,Southampton,20,2
Germany,Forward,Youssoufa Moukoko,Borussia Dortmund,18,1
Japan,Goalkeeper,Eiji Kawashima,Strasbourg,39,95
Japan,Defender,Miki Yamane,Kawasaki Frontale,28,15
Japan,Defender,Shogo Taniguchi,Kawasaki Frontale,31,14
Japan,Defender,Ko Itakura,Borussia Mönchengladbach,25,13
Japan,Defender,Yuto Nagatomo,FC Tokyo,36,138
Japan,Midfielder,Wataru Endo,VfB Stuttgart,29,43
Japan,Midfielder,Gaku Shibasaki,Leganés,30,60
Japan,Midfielder,Ritsu Dōan,SC Freiburg,24,29
Japan,Midfielder,Kaoru Mitoma,Brighton & Hove Albion,25,9
Japan,Midfielder,Takumi Minamino,Monaco,27,44
Japan,Midfielder,Takefusa Kubo,Real Sociedad,21,20
Japan,Goalkeeper,Shūichi Gonda,Shimizu S-Pulse,33,34
Japan,Midfielder,Hidemasa Morita,Sporting CP,27,17
Japan,Midfielder,Junya Ito,Reims,29,38
Japan,Midfielder,Daichi Kamada,Eintracht Frankfurt,26,22
Japan,Defender,Takehiro Tomiyasu,Arsenal,24,29
Japan,Midfielder,Ao Tanaka,Fortuna Düsseldorf,24,15
Japan,Forward,Takuma Asano,VfL Bochum,28,37
Japan,Defender,Hiroki Sakai,Urawa Red Diamonds,32,72
Japan,Forward,Shuto Machino,Shonan Bellmare,23,4
Japan,Forward,Ayase Ueda,Cercle Brugge,24,11
Japan,Defender,Maya Yoshida,Schalke 04,34,122
Japan,Goalkeeper,Daniel Schmidt,Sint-Truiden,30,11
Japan,Midfielder,Yuki Soma,Nagoya Grampus,25,8
Japan,Forward,Daizen Maeda,Celtic,25,8
Japan,Defender,Hiroki Ito,VfB Stuttgart,23,6
Spain,Goalkeeper,Robert Sánchez,Brighton & Hove Albion,25,2
Spain,Defender,César Azpilicueta,Chelsea,33,42
Spain,Defender,Eric García,Barcelona,21,19
Spain,Defender,Pau Torres,Villarreal,25,22
Spain,Midfielder,Sergio Busquets,Barcelona,34,139
Spain,Midfielder,Marcos Llorente,Atlético Madrid,27,17
Spain,Forward,Álvaro Morata,Atlético Madrid,30,57
Spain,Midfielder,Koke,Atlético Madrid,30,68
Spain,Midfielder,Gavi,Barcelona,18,13
Spain,Forward,Marco Asensio,Real Madrid,26,31
Spain,Forward,Ferran Torres,Barcelona,22,31
Spain,Forward,Nico Williams,Athletic Bilbao,20,3
Spain,Goalkeeper,David Raya,Brentford,27,2
Spain,Defender,Alejandro Balde,Barcelona,19,0
Spain,Defender,Hugo Guillamón,Valencia,22,3
Spain,Midfielder,Rodri,Manchester City,26,35
Spain,Forward,Yeremy Pino,Villarreal,20,7
Spain,Defender,Jordi Alba,Barcelona,33,87
Spain,Midfielder,Carlos Soler,Paris Saint-Germain,25,12
Spain,Defender,Dani Carvajal,Real Madrid,30,31
Spain,Forward,Dani Olmo,RB Leipzig,24,25
Spain,Forward,Pablo Sarabia,Paris Saint-Germain,30,25
Spain,Goalkeeper,Unai Simón,Athletic Bilbao,25,27
Spain,Defender,Aymeric Laporte,Manchester City,28,16
Spain,Forward,Ansu Fati,Barcelona,20,5
Spain,Midfielder,Pedri,Barcelona,19,14
Belgium,Goalkeeper,Thibaut Courtois,Real Madrid,30,97
Belgium,Defender,Toby Alderweireld,Antwerp,33,124
Belgium,Defender,Arthur Theate,Rennes,22,4
Belgium,Defender,Wout Faes,Leicester City,24,1
Belgium,Defender,Jan Vertonghen,Anderlecht,35,142
Belgium,Midfielder,Axel Witsel,Atlético Madrid,33,127
Belgium,Midfielder,Kevin De Bruyne,Manchester City,31,94
Belgium,Midfielder,Youri Tielemans,Leicester City,25,55
Belgium,Forward,Romelu Lukaku,Internazionale,29,102
Belgium,Forward,Eden Hazard,Real Madrid,31,123
Belgium,Forward,Yannick Carrasco,Atlético Madrid,29,60
Belgium,Goalkeeper,Simon Mignolet,Club Brugge,34,35
Belgium,Goalkeeper,Koen Casteels,VfL Wolfsburg,30,4
Belgium,Forward,Dries Mertens,Galatasaray,35,107
Belgium,Midfielder,Thomas Meunier,Borussia Dortmund,31,59
Belgium,Midfielder,Thorgan Hazard,Borussia Dortmund,29,45
Belgium,Forward,Leandro Trossard,Brighton & Hove Albion,27,21
Belgium,Midfielder,Amadou Onana,Everton,21,2
Belgium,Defender,Leander Dendoncker,Aston Villa,27,29
Belgium,Midfielder,Hans Vanaken,Club Brugge,30,23
Belgium,Midfielder,Timothy Castagne,Leicester City,26,26
Belgium,Forward,Charles De Ketelaere,Milan,21,10
Belgium,Forward,Michy Batshuayi,Fenerbahçe,29,48
Belgium,Forward,Loïs Openda,Lens,22,5
Belgium,Forward,Jérémy Doku,Rennes,20,11
Belgium,Defender,Zeno Debast,Anderlecht,19,3
Canada,Goalkeeper,Dayne St. Clair,Minnesota United FC,25,2
Canada,Defender,Alistair Johnston,CF Montréal,24,30
Canada,Defender,Sam Adekugbe,Hatayspor,27,34
Canada,Defender,Kamal Miller,CF Montréal,25,29
Canada,Defender,Steven Vitória,Chaves,35,35
Canada,Midfielder,Samuel Piette,CF Montréal,28,66
Canada,Midfielder,Stephen Eustáquio,Porto,25,26
Canada,Midfielder,Liam Fraser,Deinze,24,15
Canada,Forward,Lucas Cavallini,Vancouver Whitecaps FC,29,34
Canada,Midfielder,Junior Hoilett,Reading,32,50
Canada,Forward,Tajon Buchanan,Club Brugge,23,26
Canada,Forward,Iké Ugbo,Troyes,24,8
Canada,Midfielder,Atiba Hutchinson,Beşiktaş,39,98
Canada,Midfielder,Mark-Anthony Kaye,Toronto FC,27,38
Canada,Midfielder,Ismaël Koné,CF Montréal,20,6
Canada,Goalkeeper,James Pantemis,CF Montréal,25,0
Canada,Forward,Cyle Larin,Club Brugge,27,55
Canada,Goalkeeper,Milan Borjan,Red Star Belgrade,35,68
Canada,Forward,Alphonso Davies,Bayern Munich,22,34
Canada,Forward,Jonathan David,Lille,22,35
Canada,Midfielder,Jonathan Osorio,Toronto FC,30,57
Canada,Defender,Richie Laryea,Toronto FC,27,34
Canada,Midfielder,Liam Millar,Basel,23,16
Canada,Midfielder,David Wotherspoon,St Johnstone,32,10
Canada,Defender,Derek Cornelius,Panetolikos,24,14
Canada,Defender,Joel Waterman,CF Montréal,26,2
Croatia,Goalkeeper,Dominik Livaković,Dinamo Zagreb,27,34
Croatia,Defender,Josip Stanišić,Bayern Munich,22,7
Croatia,Defender,Borna Barišić,Rangers,30,28
Croatia,Forward,Ivan Perišić,Tottenham Hotspur,33,116
Croatia,Defender,Martin Erlić,Sassuolo,24,4
Croatia,Defender,Dejan Lovren,Zenit Saint Petersburg,33,72
Croatia,Midfielder,Lovro Majer,Rennes,24,11
Croatia,Midfielder,Mateo Kovačić,Chelsea,28,84
Croatia,Forward,Andrej Kramarić,1899 Hoffenheim,31,74
Croatia,Midfielder,Luka Modrić,Real Madrid,37,155
Croatia,Midfielder,Marcelo Brozović,Internazionale,30,77
Croatia,Goalkeeper,Ivo Grbić,Atlético Madrid,26,2
Croatia,Midfielder,Nikola Vlašić,Torino,25,42
Croatia,Forward,Marko Livaja,Hajduk Split,29,14
Croatia,Midfielder,Mario Pašalić,Atalanta,27,43
Croatia,Forward,Bruno Petković,Dinamo Zagreb,28,23
Croatia,Forward,Ante Budimir,Osasuna,31,15
Croatia,Forward,Mislav Oršić,Dinamo Zagreb,29,21
Croatia,Defender,Borna Sosa,VfB Stuttgart,24,8
Croatia,Defender,Joško Gvardiol,RB Leipzig,20,12
Croatia,Defender,Domagoj Vida,AEK Athens,33,100
Croatia,Defender,Josip Juranović,Celtic,27,21
Croatia,Goalkeeper,Ivica Ivušić,Osijek,27,5
Croatia,Defender,Josip Šutalo,Dinamo Zagreb,22,3
Croatia,Midfielder,Luka Sučić,Red Bull Salzburg,20,4
Croatia,Midfielder,Kristijan Jakić,Eintracht Frankfurt,25,4
Morocco,Goalkeeper,Yassine Bounou,Sevilla,31,46
Morocco,Defender,Achraf Hakimi,Paris Saint-Germain,24,54
Morocco,Defender,Noussair Mazraoui,Bayern Munich,25,15
Morocco,Midfielder,Sofyan Amrabat,Fiorentina,26,39
Morocco,Defender,Nayef Aguerd,West Ham United,26,22
Morocco,Defender,Romain Saïss,Beşiktaş,32,66
Morocco,Midfielder,Hakim Ziyech,Chelsea,29,43
Morocco,Midfielder,Azzedine Ounahi,Angers,22,10
Morocco,Forward,Abderrazak Hamdallah,Al-Ittihad,31,18
Morocco,Midfielder,Anass Zaroury,Burnley,22,1
Morocco,Forward,Abdelhamid Sabiri,Sampdoria,25,2
Morocco,Goalkeeper,Munir Mohamedi,Al-Wehda,33,43
Morocco,Midfielder,Ilias Chair,Queens Park Rangers,25,11
Morocco,Midfielder,Zakaria Aboukhlal,Toulouse,22,12
Morocco,Midfielder,Selim Amallah,Standard Liège,26,24
Morocco,Forward,Abde Ezzalzouli,Osasuna,20,2
Morocco,Midfielder,Sofiane Boufal,Angers,29,32
Morocco,Defender,Jawad El Yamiq,Valladolid,30,12
Morocco,Forward,Youssef En-Nesyri,Sevilla,25,50
Morocco,Defender,Achraf Dari,Brest,23,4
Morocco,Forward,Walid Cheddira,Bari,24,2
Morocco,Goalkeeper,Ahmed Reda Tagnaouti,Wydad AC,26,3
Morocco,Midfielder,Bilal El Khannous,Genk,18,0
Morocco,Defender,Badr Benoun,Qatar SC,29,3
Morocco,Defender,Yahia Attiyat Allah,Wydad AC,27,2
Morocco,Midfielder,Yahya Jabrane,Wydad AC,31,5
Brazil,Goalkeeper,Alisson,Liverpool,30,57
Brazil,Defender,Danilo,Juventus,31,46
Brazil,Defender,Thiago Silva,Chelsea,38,109
Brazil,Defender,Marquinhos,Paris Saint-Germain,28,71
Brazil,Midfielder,Casemiro,Manchester United,30,65
Brazil,Defender,Alex Sandro,Juventus,31,37
Brazil,Midfielder,Lucas Paquetá,West Ham United,25,35
Brazil,Midfielder,Fred,Manchester United,29,28
Brazil,Forward,Richarlison,Tottenham Hotspur,25,38
Brazil,Forward,Neymar,Paris Saint-Germain,30,121
Brazil,Forward,Raphinha,Barcelona,25,11
Brazil,Goalkeeper,Weverton,Palmeiras,34,8
Brazil,Defender,Dani Alves,UNAM,39,124
Brazil,Defender,Éder Militão,Real Madrid,24,23
Brazil,Midfielder,Fabinho,Liverpool,29,28
Brazil,Defender,Alex Telles,Sevilla,29,8
Brazil,Midfielder,Bruno Guimarães,Newcastle United,25,8
Brazil,Forward,Gabriel Jesus,Arsenal,25,56
Brazil,Forward,Antony,Manchester United,22,11
Brazil,Forward,Vinícius Júnior,Real Madrid,22,16
Brazil,Forward,Rodrygo,Real Madrid,21,7
Brazil,Midfielder,Éverton Ribeiro,Flamengo,33,21
Brazil,Goalkeeper,Ederson,Manchester City,29,18
Brazil,Defender,Bremer,Juventus,25,1
Brazil,Forward,Pedro,Flamengo,25,2
Brazil,Forward,Gabriel Martinelli,Arsenal,21,3
Cameroon,Goalkeeper,Simon Ngapandouetnbu,Marseille,19,0
Cameroon,Defender,Jerome Ngom Mbekeli,Colombe Sportive,24,2
Cameroon,Defender,Nicolas Nkoulou,Aris,32,79
Cameroon,Defender,Christopher Wooh,Rennes,21,4
Cameroon,Midfielder,Gaël Ondoua,Hannover 96,27,4
Cameroon,Forward,Moumi Ngamaleu,Dynamo Moscow,28,42
Cameroon,Midfielder,Georges-Kévin Nkoudou,Beşiktaş,27,3
Cameroon,Midfielder,André-Frank Zambo Anguissa,Napoli,27,44
Cameroon,Forward,Jean-Pierre Nsame,Young Boys,29,4
Cameroon,Forward,Vincent Aboubakar,Al-Nassr,30,92
Cameroon,Forward,Christian Bassogog,Shanghai Shenhua,27,44
Cameroon,Forward,Karl Toko Ekambi,Lyon,30,52
Cameroon,Forward,Eric Maxim Choupo-Moting,Bayern Munich,33,70
Cameroon,Midfielder,Samuel Gouet,Mechelen,24,22
Cameroon,Midfielder,Pierre Kunde,Olympiacos,27,33
Cameroon,Goalkeeper,Devis Epassy,Abha,29,5
Cameroon,Defender,Olivier Mbaizo,Philadelphia Union,25,11
Cameroon,Midfielder,Martin Hongla,Hellas Verona,24,20
Cameroon,Defender,Collins Fai,Al-Tai,30,53
Cameroon,Forward,Bryan Mbeumo,Brentford,23,4
Cameroon,Defender,Jean-Charles Castelletto,Nantes,27,15
Cameroon,Midfielder,Olivier Ntcham,Swansea City,26,4
Cameroon,Goalkeeper,André Onana,Internazionale,26,34
Cameroon,Defender,Enzo Ebosse,Udinese,23,3
Cameroon,Defender,Nouhou Tolo,Seattle Sounders FC,25,19
Cameroon,Midfielder,Souaibou Marou,Coton Sport,21,3
Serbia,Goalkeeper,Marko Dmitrović,Sevilla,30,19
Serbia,Defender,Strahinja Pavlović,Red Bull Salzburg,21,22
Serbia,Defender,Strahinja Eraković,Red Star Belgrade,21,2
Serbia,Defender,Nikola Milenković,Fiorentina,25,39
Serbia,Defender,Miloš Veljković,Werder Bremen,27,21
Serbia,Midfielder,Nemanja Maksimović,Getafe,27,40
Serbia,Forward,Nemanja Radonjić,Torino,26,36
Serbia,Midfielder,Nemanja Gudelj,Sevilla,31,49
Serbia,Forward,Aleksandar Mitrović,Fulham,28,76
Serbia,Forward,Dušan Tadić,Ajax,34,91
Serbia,Forward,Luka Jović,Fiorentina,24,29
Serbia,Goalkeeper,Predrag Rajković,Mallorca,27,28
Serbia,Defender,Stefan Mitrović,Getafe,32,35
Serbia,Midfielder,Andrija Živković,PAOK,26,29
Serbia,Defender,Srđan Babić,Almería,26,2
Serbia,Midfielder,Saša Lukić,Torino,26,32
Serbia,Midfielder,Filip Kostić,Juventus,30,50
Serbia,Forward,Dušan Vlahović,Juventus,22,17
Serbia,Midfielder,Uroš Račić,Braga,24,9
Serbia,Midfielder,Sergej Milinković-Savić,Lazio,27,36
Serbia,Forward,Filip Đuričić,Sampdoria,30,37
Serbia,Midfielder,Darko Lazović,Hellas Verona,32,26
Serbia,Goalkeeper,Vanja Milinković-Savić,Torino,25,7
Serbia,Midfielder,Ivan Ilić,Hellas Verona,21,6
Serbia,Defender,Filip Mladenović,Legia Warsaw,31,20
Serbia,Midfielder,Marko Grujić,Porto,26,18
Switzerland,Goalkeeper,Yann Sommer,Borussia Mönchengladbach,33,77
Switzerland,Defender,Edimilson Fernandes,Mainz 05,26,22
Switzerland,Defender,Silvan Widmer,Mainz 05,29,34
Switzerland,Defender,Nico Elvedi,Borussia Mönchengladbach,26,41
Switzerland,Defender,Manuel Akanji,Manchester City,27,43
Switzerland,Midfielder,Denis Zakaria,Chelsea,26,43
Switzerland,Forward,Breel Embolo,Monaco,25,59
Switzerland,Midfielder,Remo Freuler,Nottingham Forest,30,49
Switzerland,Forward,Haris Seferovic,Galatasaray,30,89
Switzerland,Midfielder,Granit Xhaka,Arsenal,30,107
Switzerland,Defender,Renato Steffen,Lugano,31,28
Switzerland,Goalkeeper,Jonas Omlin,Montpellier,28,4
Switzerland,Defender,Ricardo Rodriguez,Torino,30,100
Switzerland,Midfielder,Michel Aebischer,Bologna,25,12
Switzerland,Midfielder,Djibril Sow,Eintracht Frankfurt,25,32
Switzerland,Midfielder,Christian Fassnacht,Young Boys,29,16
Switzerland,Forward,Ruben Vargas,FC Augsburg,24,27
Switzerland,Defender,Eray Cömert,Valencia,24,10
Switzerland,Forward,Noah Okafor,Red Bull Salzburg,22,9
Switzerland,Midfielder,Fabian Frei,Basel,33,22
Switzerland,Goalkeeper,Gregor Kobel,Borussia Dortmund,24,3
Switzerland,Defender,Fabian Schär,Newcastle United,30,73
Switzerland,Midfielder,Xherdan Shaqiri,Chicago Fire FC,31,109
Switzerland,Goalkeeper,Philipp Köhn,Red Bull Salzburg,24,0
Switzerland,Midfielder,Fabian Rieder,Young Boys,20,0
Switzerland,Midfielder,Ardon Jashari,Luzern,20,1
Ghana,Goalkeeper,Lawrence Ati-Zigi,St. Gallen,25,11
Ghana,Defender,Tariq Lamptey,Brighton & Hove Albion,22,2
Ghana,Defender,Denis Odoi,Club Brugge,34,4
Ghana,Defender,Mohammed Salisu,Southampton,23,3
Ghana,Midfielder,Thomas Partey,Arsenal,29,40
Ghana,Midfielder,Elisha Owusu,Gent,25,3
Ghana,Midfielder,Abdul Fatawu Issahaku,Sporting CP,18,13
Ghana,Midfielder,Daniel-Kofi Kyereh,SC Freiburg,26,15
Ghana,Forward,Jordan Ayew,Crystal Palace,31,84
Ghana,Forward,André Ayew,Al-Sadd,32,110
Ghana,Midfielder,Osman Bukari,Red Star Belgrade,23,7
Ghana,Goalkeeper,Ibrahim Danlad,Asante Kotoko,19,4
Ghana,Midfielder,Daniel Afriyie,Hearts of Oak,21,7
Ghana,Defender,Gideon Mensah,Auxerre,24,12
Ghana,Defender,Joseph Aidoo,Celta Vigo,27,11
Ghana,Goalkeeper,Abdul Manaf Nurudeen,Eupen,23,2
Ghana,Defender,Baba Rahman,Reading,28,48
Ghana,Defender,Daniel Amartey,Leicester City,27,46
Ghana,Forward,Iñaki Williams,Athletic Bilbao,28,3
Ghana,Midfielder,Mohammed Kudus,Ajax,22,18
Ghana,Midfielder,Salis Abdul Samed,Lens,22,1
Ghana,Midfielder,Kamaldeen Sulemana,Rennes,20,13
Ghana,Defender,Alexander Djiku,Strasbourg,28,18
Ghana,Midfielder,Kamal Sowah,Club Brugge,22,1
Ghana,Forward,Antoine Semenyo,Bristol City,22,4
Ghana,Defender,Alidu Seidu,Clermont,22,4
Portugal,Goalkeeper,Rui Patrício,Roma,34,105
Portugal,Defender,Diogo Dalot,Manchester United,23,7
Portugal,Defender,Pepe,Porto,39,129
Portugal,Defender,Rúben Dias,Manchester City,25,40
Portugal,Defender,Raphaël Guerreiro,Borussia Dortmund,28,57
Portugal,Midfielder,João Palhinha,Fulham,27,15
Portugal,Forward,Cristiano Ronaldo,Manchester United,37,191
Portugal,Midfielder,Bruno Fernandes,Manchester United,28,49
Portugal,Forward,André Silva,RB Leipzig,27,52
Portugal,Forward,Bernardo Silva,Manchester City,28,73
Portugal,Forward,João Félix,Atlético Madrid,23,24
Portugal,Goalkeeper,José Sá,Wolverhampton Wanderers,29,0
Portugal,Defender,Danilo Pereira,Paris Saint-Germain,31,63
Portugal,Midfielder,William Carvalho,Real Betis,30,76
Portugal,Forward,Rafael Leão,Milan,23,11
Portugal,Midfielder,Vitinha,Paris Saint-Germain,22,5
Portugal,Midfielder,João Mário,Benfica,29,53
Portugal,Midfielder,Rúben Neves,Wolverhampton Wanderers,25,32
Portugal,Defender,Nuno Mendes,Paris Saint-Germain,20,17
Portugal,Defender,João Cancelo,Manchester City,28,37
Portugal,Forward,Ricardo Horta,Braga,28,6
Portugal,Goalkeeper,Diogo Costa,Porto,23,7
Portugal,Midfielder,Matheus Nunes,Wolverhampton Wanderers,24,9
Portugal,Defender,António Silva,Benfica,19,1
Portugal,Midfielder,Otávio,Porto,27,8
Portugal,Forward,Gonçalo Ramos,Benfica,21,1
South Korea,Goalkeeper,Kim Seung-gyu,Al-Shabab,32,67
South Korea,Defender,Yoon Jong-gyu,FC Seoul,24,4
South Korea,Defender,Kim Jin-su,Jeonbuk Hyundai Motors,30,61
South Korea,Defender,Kim Min-jae,Napoli,26,44
South Korea,Midfielder,Jung Woo-young,Al-Sadd,32,66
South Korea,Midfielder,Hwang In-beom,Olympiacos,26,37
South Korea,Midfielder,Son Heung-min,Tottenham Hotspur,30,104
South Korea,Midfielder,Paik Seung-ho,Jeonbuk Hyundai Motors,25,14
South Korea,Forward,Cho Gue-sung,Jeonbuk Hyundai Motors,24,16
South Korea,Midfielder,Lee Jae-sung,Mainz 05,30,64
South Korea,Midfielder,Hwang Hee-chan,Wolverhampton Wanderers,26,49
South Korea,Goalkeeper,Song Bum-keun,Jeonbuk Hyundai Motors,25,1
South Korea,Midfielder,Son Jun-ho,Shandong Taishan,30,15
South Korea,Defender,Hong Chul,Daegu FC,32,46
South Korea,Defender,Kim Moon-hwan,Jeonbuk Hyundai Motors,27,22
South Korea,Forward,Hwang Ui-jo,Olympiacos,30,49
South Korea,Midfielder,Na Sang-ho,FC Seoul,26,24
South Korea,Midfielder,Lee Kang-in,Mallorca,21,6
South Korea,Defender,Kim Young-gwon,Ulsan Hyundai,32,96
South Korea,Defender,Kwon Kyung-won,Gamba Osaka,30,28
South Korea,Goalkeeper,Jo Hyeon-woo,Ulsan Hyundai,31,22
South Korea,Midfielder,Kwon Chang-hoon,Gimcheon Sangmu,28,42
South Korea,Defender,Kim Tae-hwan,Ulsan Hyundai,33,19
South Korea,Defender,Cho Yu-min,Daejeon Hana Citizen,26,4
South Korea,Midfielder,Jeong Woo-yeong,SC Freiburg,23,9
South Korea,Midfielder,Song Min-kyu,Jeonbuk Hyundai Motors,23,13
Uruguay,Goalkeeper,Fernando Muslera,Galatasaray,36,133
Uruguay,Defender,José Giménez,Atlético Madrid,27,78
Uruguay,Defender,Diego Godín,Vélez Sarsfield,36,159
Uruguay,Defender,Ronald Araújo,Barcelona,23,12
Uruguay,Midfielder,Matías Vecino,Lazio,31,62
Uruguay,Midfielder,Rodrigo Bentancur,Tottenham Hotspur,25,51
Uruguay,Midfielder,Nicolás de la Cruz,River Plate,25,17
Uruguay,Forward,Facundo Pellistri,Manchester United,20,7
Uruguay,Forward,Luis Suárez,Nacional,35,134
Uruguay,Midfielder,Giorgian de Arrascaeta,Flamengo,28,40
Uruguay,Forward,Darwin Núñez,Liverpool,23,13
Uruguay,Goalkeeper,Sebastián Sosa,Independiente,36,1
Uruguay,Defender,Guillermo Varela,Flamengo,29,9
Uruguay,Midfielder,Lucas Torreira,Galatasaray,26,40
Uruguay,Midfielder,Federico Valverde,Real Madrid,24,44
Uruguay,Defender,Mathías Olivera,Napoli,25,8
Uruguay,Defender,Matías Viña,Roma,25,26
Uruguay,Forward,Maxi Gómez,Trabzonspor,26,27
Uruguay,Defender,Sebastián Coates,Sporting CP,32,47
Uruguay,Forward,Facundo Torres,Orlando City SC,22,10
Uruguay,Forward,Edinson Cavani,Valencia,35,133
Uruguay,Defender,Martín Cáceres,LA Galaxy,35,115
Uruguay,Goalkeeper,Sergio Rochet,Nacional,29,8
Uruguay,Midfielder,Agustín Canobbio,Athletico Paranaense,24,3
Uruguay,Midfielder,Manuel Ugarte,Sporting CP,21,6
Uruguay,Defender,José Luis Rodríguez,Nacional,25,0
