"year";"stage";"home_team";"away_team";"home_score";"away_score";"winner";"home_team_stats_score";"home_team_ranking";"away_team_stats_score";"away_team_ranking";"home_team_perform_hist";"away_team_perform_hist";"home_team_wc_perform";"away_team_wc_perform"
2010;"Group F";"Slovakia";"Italy";3;2;"home_team";72,1;777;79,2173913043478;1184;0,5;0,5;0;0,571428571428571
2010;"Group H";"Chile";"Spain";1;2;"away_team";74,5;888;79,7308695652174;1565;0;1;0,28;0,448979591836735
2010;"Group G";"North Korea";"Ivory Coast";0;3;"away_team";NA;NA;76,6747826086957;NA;0;1;0,25;0,333333333333333
2010;"Group G";"Portugal";"Brazil";0;0;"draw";77,2852173913043;1249;70,4782608695652;1611;0,4;0,2;0,578947368421053;0,695652173913043
2010;"Group H";"Switzerland";"Honduras";0;0;"draw";74,5217391304348;866;71,1666666666667;734;0;0;0,307692307692308;0
2010;"Round of 16";"Uruguay";"South Korea";2;1;"home_team";75,7739130434783;899;56,7272727272727;632;1;0;0,375;0,166666666666667
2010;"Round of 16";"USA";"Ghana";1;2;"away_team";73,3478260869565;957;70,45;800;0;1;0,24;0,5
2010;"Round of 16";"Argentina";"Mexico";3;1;"home_team";81,3761904761905;1076;72,4782608695652;895;0,636363636363636;0,0909090909090909;0,507692307692308;0,244444444444444
2010;"Round of 16";"Germany";"England";4;1;"home_team";78,5652173913043;1082;78,5652173913043;1068;0,428571428571429;0,428571428571429;0,633333333333333;0,454545454545455
2010;"Round of 16";"Brazil";"Chile";3;0;"home_team";70,4782608695652;1611;74,5;888;0,857142857142857;0,0714285714285714;0,695652173913043;0,28
2010;"Round of 16";"Netherlands";"Slovakia";2;1;"home_team";79,2191304347826;1231;72,1;777;1;0;0,444444444444444;0
2010;"Round of 16";"Paraguay";"Japan";0;0;"draw";73,1428571428571;820;72,6666666666667;682;0,25;0,25;0,272727272727273;0,2
2010;"Round of 16";"Spain";"Portugal";1;0;"home_team";79,7308695652174;1565;77,2852173913043;1249;0,333333333333333;0,333333333333333;0,448979591836735;0,578947368421053
2010;"Quarterfinals";"Netherlands";"Brazil";2;1;"home_team";79,2191304347826;1231;70,4782608695652;1611;0,142857142857143;0,285714285714286;0,444444444444444;0,695652173913043
2010;"Quarterfinals";"Uruguay";"Ghana";1;1;"draw";75,7739130434783;899;70,45;800;0;0;0,375;0,5
2010;"Quarterfinals";"Argentina";"Germany";0;4;"away_team";81,3761904761905;1076;78,5652173913043;1082;0,333333333333333;0,166666666666667;0,507692307692308;0,633333333333333
2010;"Quarterfinals";"Paraguay";"Spain";0;1;"away_team";73,1428571428571;820;79,7308695652174;1565;0;0,5;0,272727272727273;0,448979591836735
2010;"Semifinals";"Uruguay";"Netherlands";2;3;"away_team";75,7739130434783;899;79,2191304347826;1231;0;1;0,375;0,444444444444444
2010;"Semifinals";"Germany";"Spain";0;1;"away_team";78,5652173913043;1082;79,7308695652174;1565;0,166666666666667;0,5;0,633333333333333;0,448979591836735
2010;"Third place";"Uruguay";"Germany";2;3;"away_team";75,7739130434783;899;78,5652173913043;1082;0;1;0,375;0,633333333333333
2010;"Final";"Netherlands";"Spain";0;1;"away_team";79,2191304347826;1231;79,7308695652174;1565;0,666666666666667;0,333333333333333;0,444444444444444;0,448979591836735
2014;"Group A";"Brazil";"Croatia";3;1;"home_team";76,2052173913043;1242;76,8333333333333;903;0,666666666666667;0;0,690721649484536;0,461538461538462
2014;"Group B";"Chile";"Australia";3;1;"home_team";72,6086956521739;1026;68,9565217391304;526;1;0;0,310344827586207;0,2
2014;"Group A";"Mexico";"Cameroon";1;0;"home_team";70,304347826087;882;73,5625;558;1;0;0,244897959183673;0,2
2014;"Group B";"Spain";"Netherlands";1;5;"away_team";80,5652173913043;1485;79,1869565217391;981;0,25;0,75;0,5;0,511627906976744
2014;"Group C";"Colombia";"Greece";3;0;"home_team";72,0234782608696;1137;74,2272727272727;1064;1;0;0,230769230769231;0,166666666666667
2014;"Group D";"England";"Italy";1;2;"away_team";78,304347826087;1090;78,3478260869565;1104;0,2;0,6;0,440677966101695;0,55
2014;"Group C";"Ivory Coast";"Japan";2;1;"home_team";72,7826086956522;NA;73,8461538461538;626;0,666666666666667;0,333333333333333;0,333333333333333;0,285714285714286
2014;"Group D";"Uruguay";"Costa Rica";1;3;"away_team";75,4347826086957;1147;69,5882352941177;762;0,428571428571429;0,142857142857143;0,382978723404255;0,3
2014;"Group F";"Argentina";"Bosnia and Herzegovina";2;1;"home_team";78,7708695652174;1175;73,5263157894737;873;1;0;0,528571428571429;0
2014;"Group E";"France";"Honduras";3;0;"home_team";78,5454545454545;913;67,2857142857143;731;1;0;0,462962962962963;0
2014;"Group E";"Switzerland";"Ecuador";2;1;"home_team";75,7391304347826;1149;70,0454545454545;791;1;0;0,310344827586207;0,428571428571429
2014;"Group G";"Germany";"Portugal";4;0;"home_team";82,2755731225297;1300;78,6939130434783;1189;0,8;0,2;0,648648648648649;0,521739130434783
2014;"Group G";"Ghana";"USA";1;2;"away_team";71,65;704;72,4782608695652;1035;0,666666666666667;0,333333333333333;0,444444444444444;0,241379310344828
2014;"Group F";"IR Iran";"Nigeria";0;0;"draw";68;641;71,3125;640;0;0,5;0,111111111111111;0,285714285714286
2014;"Group H";"Belgium";"Algeria";2;1;"home_team";79,0909090909091;1074;73,2777777777778;858;0,666666666666667;0;0,277777777777778;0,222222222222222
2014;"Group A";"Brazil";"Mexico";0;0;"draw";76,2052173913043;1242;70,304347826087;882;0,375;0,4375;0,690721649484536;0,244897959183673
2014;"Group H";"Russia";"South Korea";1;1;"draw";74,8421052631579;893;59,0434782608696;547;0,5;0;0,333333333333333;0,178571428571429
2014;"Group B";"Australia";"Netherlands";2;3;"away_team";68,9565217391304;526;79,1869565217391;981;0,25;0,25;0,2;0,511627906976744
